keys,en,fr
GEEK_12,My new year’s resolution is 1080p.,Ma résolution pour cette nouvelle année est 1080p
GEEK_13,You are so stupid your intellisence on Visual Studio gave up.,"Pourquoi les geeks doivent-ils suivre une formation incendie? 
A cause des pare-feux. "
GEEK_14,What do you call a fat computer? A big mac!,Un geek ne descend pas du métro. Il libère la RAM...
GEEK_15,There are only 10 types of people in the world : those who understand binary and those who don’t.,Il y a 10 types de personnes dans le monde : ceux qui comprennent le binaire et les autres
LILIAN_0,"- I have a good and a bad news.
- The good one ?
- I found a golden ring.
- The bad one ?
- We go to Mordor.","- J'ai une bonne et une mauvaise nouvelle. 
- La bonne ? 
- J'ai trouvé cette bague en or. 
- La mauvaise ? 
- On part pour le Mordor."
LILIAN_1,I know how to exit vim.,Je sais quitter vim.
MARTIN_0,,"T'aimes bien SCRATCH ? 
Non, je préfère les lacets"
MARTIN_1,,"- On met quoi comme police pour le titre ?
- Roxane"
MARTIN_2,,"C'est une vache et un citron qui font un braquage. La vache dit ""que personne ne bouse"" et le citron ajoute ""plus un zeste !"""
MARTIN_3,,"C'est un aveugle qui rendre dans un bar, puis dans une table, puis dans une chaise"
MARTIN_4,,"Quel est le comble pour un serrurier ? 
Mettre la clé sous la porte."
MARTIN_5,,"Est-ce que vous connaissez l’histoire du poil ? Avant, il était bien. Maintenant, il est pubien."
MARTIN_6,,"Quel est le point commun entre un désinfectant et un témoin de Jéhovah ? 
Ils sont tous les deux antiseptiques !"
MARTIN_7,,Quel est le sport le plus silencieux ? Le para-chut !
MARTIN_8,,C'est un mec qui rentre dans un café. Et plouf !
MARTIN_9,,C'est un mec qui rentre dans un bar et qui dit ''C'est moi !'' mais en fait c'était pas lui.
MARTIN_10,,"Connaissez-vous l’histoire du pingouin qui respirait par les fesses ? 
Un beau jour, il s’assoit sur une chaise et meurt."
MARTIN_11,,Est-ce que vous connaissez l’histoire de la chaise ? Elle est pliante.
MARTIN_12,,"C’est quoi le comble pour un Égyptien?
C’est d’avoir un papi russe."
MARTIN_13,,"- Est ce qu'on kangourou peut sauter plus haut qu'une maison ?
- Je sais pas ?
- Tu as déjà vu une maison sauter ?"
MARTIN_14,,"J’ai une blague sur les magasins, mais elle n’a pas supermarché."
MARTIN_15,,"Que fait une fraise sur un cheval ? 
Tagada tagada…"
MAMIE_0,,"Un enfant dit ""Maman, maman, je ne veux plus dormir avec mamie"". Sa mère lui répond : ""je sais bien mon chéri, mais tu sais bien qu'on n'a pas assez de sous pour l'enterrer"""
MAMIE_1,,"Maman, il y a quelqu'un à la porte qui fait la collecte pour la maison de retraite.
Je peux lui donner grand-mère ? "
MAMIE_2,,"Un homme vient de mourir.
Aux funérailles, le curé se répand en éloges pour le défunt : - Un bon mari, un bon chrétien, un père exemplaire...
La veuve se penche vers son fils et lui dit à voix basse : - Va donc voir dans le cercueil si c'est bien ton père. "
MAMIE_3,,"- Mamie mamie, c’est quoi un amant ?
- Et bien c’est un monsieur qui… OH NOM DE DIEU !
La mamie se jette vers son armoire, ouvre la porte, et un squelette tombe à terre !"
MAMIE_4,,"- Comment il s'appelle déjà, ce bel allemand qui me rend complètement folle ?
- Alzheimer, maman, Alzheimer! "
MAMIE_5,,"- Que faites-vous depuis que vous êtes en retraite ?
- Je fais de la recherche !
- Ah bon ! Et dans quoi ?
- Tous les jours, je cherche mes lunettes, ma canne, mon dentier, mes clés… "
MAMIE_6,,"- Mamie, c'est quoi l'animal avec la longue trompe qui crache de l'eau là bas ?
- Chéri, remet ton pantalon tu fais peur au petit... "
MAMIE_7,,"- Maman, maman, grand-mère m'a mordue.
- C'est bien fait. Je t'avais bien dit de pas t'approcher de la cage."
MAMIE_8,,"Qu'est-ce qui est blanc et qui tombe en hiver lorsqu'il fait froid ?:
Les p'tits vieux."
MAMIE_9,,"A leur 50 ans de mariage, un mamie s'exclame :  
- Chéri, je sens la même chaleur qu'il y a 50 ans !
- Normal, t'as les nichons dans la soupe !"
MAMIE_10,,"Pourquoi fait-on prendre des bains de boue aux vieux?
- Pour qu'ils s'habituent à la terre "
MAMIE_11,,"Le médecin examine une vieille femme qui agonise. Il se tourne vers le veuf imminent:
- Ça fait longtemps qu'elle râle comme ça ?
- Bah oui, en fait depuis qu'on est mariés"
MAMIE_12,,"Canicule en été, mamie va y passer."
MAMIE_13,,"Quelle est la différence entre un vieux et une pizza ?
La pizza ne hurle pas quand tu la mets au four."
MAMIE_14,,Ta mère est tellement vieille qu’elle a écrit la préface de la Bible.
MAMIE_15,,"Quelle est la différence entre un vieux et un renard ?
Le renard a la queue touffue et le vieux a la queue foutue !"
